STARTTRAVELDATE,STARTREGION,ENDREGION,NUMVISITS
2016-03-01 05:00:00,SENGKANG_0,QUEENSTOWN_0,3
2016-03-01 05:00:00,SENGKANG_0,ROCHOR_0,1
2016-03-01 05:00:00,SENGKANG_0,SENGKANG_0,15
2016-03-01 05:00:00,SENGKANG_0,SERANGOON_0,3
2016-03-01 05:00:00,SENGKANG_0,SINGAPORE RIVER_0,1
2016-03-01 05:00:00,SENGKANG_0,TAMPINES_0,1
2016-03-01 05:00:00,SENGKANG_0,TOA PAYOH_0,5
2016-03-01 05:00:00,SERANGOON_0,BUKIT TIMAH_0,1
2016-03-01 05:00:00,SERANGOON_0,DOWNTOWN CORE_0,3
2016-03-01 05:00:00,SERANGOON_0,GEYLANG_0,1
2016-03-01 05:00:00,SERANGOON_0,JURONG WEST_0,3
2016-03-01 05:00:00,SERANGOON_0,OUTRAM_0,1
2016-03-01 05:00:00,SERANGOON_0,QUEENSTOWN_0,3
2016-03-01 05:00:00,SERANGOON_0,SEMBAWANG_0,1
2016-03-01 05:00:00,SERANGOON_0,SERANGOON_0,1
2016-03-01 05:00:00,SERANGOON_0,TOA PAYOH_0,1
2016-03-01 05:00:00,SUNGEI KADUT_0,ANG MO KIO_0,8
2016-03-01 05:00:00,SUNGEI KADUT_0,BISHAN_0,2
2016-03-01 05:00:00,SUNGEI KADUT_0,BUKIT BATOK_0,1
2016-03-01 05:00:00,SUNGEI KADUT_0,BUKIT TIMAH_0,1
2016-03-01 05:00:00,SUNGEI KADUT_0,CHOA CHU KANG_0,3
2016-03-01 05:00:00,SUNGEI KADUT_0,CLEMENTI_0,2
2016-03-01 05:00:00,SUNGEI KADUT_0,DOWNTOWN CORE_0,18
2016-03-01 05:00:00,SUNGEI KADUT_0,GEYLANG_0,3
2016-03-01 05:00:00,SUNGEI KADUT_0,JURONG EAST_2,3
2016-03-01 05:00:00,SUNGEI KADUT_0,JURONG WEST_0,7
2016-03-01 05:00:00,SUNGEI KADUT_0,MUSEUM_0,1
2016-03-01 05:00:00,SUNGEI KADUT_0,NEWTON_0,2
2016-03-01 05:00:00,SUNGEI KADUT_0,NOVENA_0,3
2016-03-01 05:00:00,SUNGEI KADUT_0,ORCHARD_0,9
2016-03-01 05:00:00,SUNGEI KADUT_0,PIONEER_0,1
